chr	start	stop
ENSG00000237491	chr1	778747	810065
ENSG00000188976	chr1	944203	959309
ENSG00000188290	chr1	998962	1000172
ENSG00000187608	chr1	1001138	1014540
ENSG00000188157	chr1	1020120	1056118
ENSG00000078808	chr1	1216908	1232067
ENSG00000176022	chr1	1232237	1235041
ENSG00000160087	chr1	1253909	1273864
ENSG00000131584	chr1	1292390	1309609
ENSG00000169972	chr1	1308597	1311677
ENSG00000127054	chr1	1311585	1324687
ENSG00000224051	chr1	1324756	1328896
ENSG00000107404	chr1	1335276	1349418
ENSG00000162576	chr1	1352689	1361777
ENSG00000175756	chr1	1373730	1375495
ENSG00000221978	chr1	1385711	1399335
ENSG00000242485	chr1	1401909	1407293
ENSG00000235098	chr1	1418420	1421769
ENSG00000179403	chr1	1434861	1442882
ENSG00000215915	chr1	1449689	1470163
ENSG00000160072	chr1	1471765	1497848
ENSG00000197785	chr1	1512162	1534685
ENSG00000160075	chr1	1541673	1574863
ENSG00000272106	chr1	1613758	1615795
ENSG00000197530	chr1	1615415	1630610
ENSG00000248333	chr1	1635227	1659012
ENSG00000189339	chr1	1659529	1692795
ENSG00000215790	chr1	1724838	1745999
ENSG00000008130	chr1	1751232	1780457
ENSG00000078369	chr1	1785285	1891117
ENSG00000067606	chr1	2050411	2185395
ENSG00000162585	chr1	2184461	2212720
ENSG00000157933	chr1	2228319	2310213
ENSG00000157916	chr1	2391775	2405442
ENSG00000157911	chr1	2403964	2413797
ENSG00000157881	chr1	2508537	2526597
ENSG00000157873	chr1	2555639	2565382
ENSG00000157870	chr1	2586491	2591469
ENSG00000142606	chr1	2590639	2633016
ENSG00000130762	chr1	3454665	3481113
ENSG00000162591	chr1	3487951	3611508
ENSG00000158109	chr1	3625015	3630127
ENSG00000116213	chr1	3630767	3652761
ENSG00000235169	chr1	3772655	3775982
ENSG00000130764	chr1	3778559	3796498
ENSG00000116198	chr1	3812086	3857214
ENSG00000198912	chr1	3889125	3900293
ENSG00000116251	chr1	6185020	6209389
ENSG00000116237	chr1	6221193	6235972
ENSG00000097021	chr1	6264269	6394391
ENSG00000162408	chr1	6521347	6554513
ENSG00000204859	chr1	6579994	6589280
ENSG00000162413	chr1	6590724	6614607
ENSG00000116273	chr1	6613731	6624030
ENSG00000041988	chr1	6624866	6635586
ENSG00000007923	chr1	6634168	6701924
ENSG00000171735	chr1	6785454	7769706
ENSG00000049245	chr1	7771296	7781432
ENSG00000049246	chr1	7784320	7845177
ENSG00000116288	chr1	7954291	7985505
ENSG00000116285	chr1	8004404	8026309
ENSG00000142599	chr1	8352397	8848921
ENSG00000074800	chr1	8861000	8879190
ENSG00000142583	chr1	9035106	9088478
ENSG00000049239	chr1	9234774	9271337
ENSG00000171621	chr1	9292894	9369532
ENSG00000171612	chr1	9539465	9585173
ENSG00000231789	chr1	9672426	9687555
ENSG00000171603	chr1	9728926	9823984
ENSG00000178585	chr1	9848276	9910336
ENSG00000162441	chr1	9922113	9943407
ENSG00000173614	chr1	9943428	9985501
ENSG00000162444	chr1	9997206	10016021
ENSG00000130939	chr1	10032832	10181239
ENSG00000054523	chr1	10210805	10381603
ENSG00000142657	chr1	10398592	10420511
ENSG00000175279	chr1	10430433	10442808
ENSG00000160049	chr1	10456522	10472529
ENSG00000142655	chr1	10472288	10630758
ENSG00000130940	chr1	10636604	10796650
ENSG00000120948	chr1	11012344	11025739
ENSG00000116649	chr1	11054584	11060020
ENSG00000171824	chr1	11066618	11099869
ENSG00000198793	chr1	11106535	11262551
ENSG00000120942	chr1	11273206	11296049
ENSG00000116661	chr1	11637018	11655785
ENSG00000132879	chr1	11654375	11663327
ENSG00000116663	chr1	11664200	11674354
ENSG00000116670	chr1	11674480	11691650
ENSG00000177674	chr1	11736084	11754802
ENSG00000177000	chr1	11785723	11806455
ENSG00000116685	chr1	11919591	11926428
ENSG00000083444	chr1	11934205	11975538
ENSG00000116688	chr1	11980181	12013514
ENSG00000116691	chr1	12019466	12032045
ENSG00000048707	chr1	12230030	12512047
ENSG00000162496	chr1	12567910	12618210
ENSG00000162493	chr1	13583465	13617957
ENSG00000116731	chr1	13700198	13825079
ENSG00000142634	chr1	15409888	15430339
ENSG00000132906	chr1	15490832	15526534
ENSG00000116138	chr1	15526813	15592379
ENSG00000197312	chr1	15617458	15669044
ENSG00000116786	chr1	15684320	15734769
ENSG00000162458	chr1	15756607	15786594
ENSG00000065526	chr1	15836095	15940456
ENSG00000116809	chr1	15941869	15976132
ENSG00000037637	chr1	16246840	16352480
ENSG00000055070	chr1	16352575	16398145
ENSG00000157191	chr1	16440721	16460078
ENSG00000219481	chr1	16562319	16613562
ENSG00000117122	chr1	16974502	16980632
ENSG00000159363	chr1	16985958	17011928
ENSG00000117118	chr1	17018722	17054032
ENSG00000179051	chr1	17406760	17439677
ENSG00000117154	chr1	18107798	18378483
ENSG00000159423	chr1	18871430	18902724
ENSG00000127481	chr1	19074510	19210266
ENSG00000127463	chr1	19215660	19251527
ENSG00000053372	chr1	19251805	19260128
ENSG00000053371	chr1	19303965	19312146
ENSG00000040487	chr1	19312326	19329300
ENSG00000077549	chr1	19338775	19485539
ENSG00000173436	chr1	19484403	19629821
ENSG00000158747	chr1	19596979	19658456
ENSG00000162542	chr1	19682213	19799945
ENSG00000169914	chr1	19882395	19912945
ENSG00000188257	chr1	19975431	19980416
ENSG00000162545	chr1	20482391	20486210
ENSG00000090432	chr1	20499448	20508151
ENSG00000158828	chr1	20633458	20651511
ENSG00000244038	chr1	20651767	20661544
ENSG00000127483	chr1	20740266	20787323
ENSG00000075151	chr1	20806292	21176888
ENSG00000117298	chr1	21217247	21345572
ENSG00000076864	chr1	21596215	21669363
ENSG00000090686	chr1	21678298	21783606
ENSG00000142798	chr1	21822244	21937310
ENSG00000070831	chr1	22025511	22101360
ENSG00000162552	chr1	22117313	22143969
ENSG00000184677	chr1	22428838	22531157
ENSG00000173372	chr1	22636628	22639678
ENSG00000159189	chr1	22643633	22648110
ENSG00000173369	chr1	22652762	22661637
ENSG00000004487	chr1	23019443	23083689
ENSG00000169641	chr1	23084023	23177808
ENSG00000125944	chr1	23303771	23344336
ENSG00000125945	chr1	23359448	23369836
ENSG00000204219	chr1	23380909	23424748
ENSG00000088280	chr1	23428563	23484568
ENSG00000117318	chr1	23557926	23559501
ENSG00000142676	chr1	23691742	23696835
ENSG00000236810	chr1	23706901	23778296
ENSG00000011007	chr1	23743155	23762059
ENSG00000057757	chr1	23778418	23788232
ENSG00000011009	chr1	23791145	23795539
ENSG00000117308	chr1	23795599	23800781
ENSG00000117305	chr1	23801885	23838620
ENSG00000179163	chr1	23845077	23868294
ENSG00000189266	chr1	23956839	23963462
ENSG00000188529	chr1	23964347	23980927
ENSG00000001460	chr1	24356999	24416934
ENSG00000001461	chr1	24415802	24472976
ENSG00000117602	chr1	24502351	24541040
ENSG00000184454	chr1	24556087	24609328
ENSG00000133226	chr1	24631716	24673281
ENSG00000169504	chr1	24745382	24844321
ENSG00000117614	chr1	25222276	25232502
ENSG00000117616	chr1	25242249	25338213
ENSG00000183726	chr1	25338317	25362361
ENSG00000204178	chr1	25430858	25500209
ENSG00000157978	chr1	25543606	25568886
ENSG00000117643	chr1	25617468	25786207
ENSG00000162430	chr1	25800176	25818221
ENSG00000117640	chr1	25818640	25832942
ENSG00000117632	chr1	25884181	25906991
ENSG00000158006	chr1	25959767	25998117
ENSG00000142684	chr1	26169908	26170873
ENSG00000142675	chr1	26177484	26189884
ENSG00000142669	chr1	26280086	26281522
ENSG00000158062	chr1	26281328	26318363
ENSG00000169442	chr1	26317958	26320523
ENSG00000117682	chr1	26432282	26471306
ENSG00000198830	chr1	26472440	26476642
ENSG00000117676	chr1	26529761	26575030
ENSG00000117713	chr1	26693236	26782104
ENSG00000060642	chr1	26787054	26800659
ENSG00000204160	chr1	26826688	26857604
ENSG00000175793	chr1	26863149	26864456
ENSG00000142751	chr1	26876132	26890283
ENSG00000198746	chr1	26890488	26900467
ENSG00000090273	chr1	26900238	26946871
ENSG00000175707	chr1	26949562	26960468
ENSG00000090020	chr1	27098809	27166981
ENSG00000142784	chr1	27234632	27308636
ENSG00000186501	chr1	27322145	27336400
ENSG00000142765	chr1	27342020	27353937
ENSG00000142733	chr1	27354067	27366961
ENSG00000174950	chr1	27379176	27383333
ENSG00000158195	chr1	27404230	27490167
ENSG00000126705	chr1	27534035	27604431
ENSG00000126709	chr1	27666064	27672198
ENSG00000009780	chr1	27725979	27763122
ENSG00000117758	chr1	27773219	27824443
ENSG00000117751	chr1	27830782	27851676
ENSG00000117748	chr1	27891524	27914746
ENSG00000130768	chr1	27935000	27959157
ENSG00000158161	chr1	27970344	28088637
ENSG00000126698	chr1	28199456	28233029
ENSG00000130770	chr1	28236109	28246906
ENSG00000204138	chr1	28369582	28500364
ENSG00000180198	chr1	28505943	28539300
ENSG00000180098	chr1	28553085	28578545
ENSG00000197989	chr1	28578538	28583132
ENSG00000120656	chr1	28589323	28643085
ENSG00000198492	chr1	28736621	28769775
ENSG00000159023	chr1	28887091	29120046
ENSG00000116350	chr1	29147743	29181900
ENSG00000116353	chr1	29192657	29230942
ENSG00000060656	chr1	29236516	29326813
ENSG00000162511	chr1	30732469	30757774
ENSG00000162512	chr1	30869466	30908758
ENSG00000134644	chr1	30931506	31065991
ENSG00000060688	chr1	31259568	31296788
ENSG00000121766	chr1	31296982	31364953
ENSG00000168528	chr1	31409565	31434680
ENSG00000162517	chr1	31629866	31644896
ENSG00000084636	chr1	31652263	31704319
