"Genes","ENSMBLID","chr","start","stop"
"TMEM200B","ENSG00000253304.1","chr1",29445940,29450447
"TMEM82","ENSG00000162460.6","chr1",16068917,16074477
"NIT1","ENSG00000158793.9","chr1",161087876,161095235
"AL356356.1","ENSG00000225996.2","chr1",150521897,150524367
"RP11-109P14.10","ENSG00000230955.1","chr1",38326369,38327252
"RP11-157N3.1","ENSG00000231671.1","chr1",101788893,101855859
"RP11-348H3.2","ENSG00000236905.2","chr1",212997369,212997847
"EIF4A1P11","ENSG00000231564.1","chr1",179170840,179171061
"RN7SL466P","ENSG00000241347.2","chr1",161705598,161705889
"SCARNA11","ENSG00000253085.1","chr1",14022565,14022694
"RP11-226L15.5","ENSG00000260766.1","chr1",159994743,159996584
"RN7SL837P","ENSG00000240502.2","chr1",231029887,231030173
"RP11-312B8.1","ENSG00000237436.1","chr1",6843952,6844903
"MAGOH","ENSG00000162385.6","chr1",53692564,53704282
"TBC1D3P6","ENSG00000224966.4","chr1",16316366,16321246
"RP5-886K2.1","ENSG00000203589.2","chr1",24032291,24033424
"C1orf195","ENSG00000204464.3","chr1",15490840,15497813
"RNU4-42P","ENSG00000201608.1","chr1",160362558,160362699
"SSX2IP","ENSG00000117155.12","chr1",85109390,85156486
"RP5-1066H13.4","ENSG00000229528.1","chr1",41329586,41342342
"BRDT","ENSG00000137948.14","chr1",92414928,92479983
"RNU7-122P","ENSG00000238310.1","chr1",109750416,109750470
"AL359753.1","ENSG00000265589.1","chr1",159029039,159029116
"RNU1-129P","ENSG00000206791.1","chr1",147486649,147486815
"HNRNPCP5","ENSG00000179412.8","chr1",13182960,13184326
"ZNF101P2","ENSG00000234473.1","chr1",192962579,192963807
"RP11-385M4.2","ENSG00000228081.2","chr1",209346359,209346720
"MIR1537","ENSG00000222831.1","chr1",236016300,236016360
"RP11-84D1.2","ENSG00000261025.1","chr1",25294914,25297356
"TESK2","ENSG00000070759.12","chr1",45809555,45956872
"ERRFI1","ENSG00000116285.8","chr1",8064464,8086368
"CDK11B","ENSG00000248333.3","chr1",1570603,1590473
"AC096534.1","ENSG00000263380.1","chr1",61549127,61549202
"RP3-453P22.2","ENSG00000237728.1","chr1",7442548,7449814
"SNORA67","ENSG00000212338.1","chr1",179165608,179165714
"RP11-558F24.2","ENSG00000233268.3","chr1",9720886,9722684
"TRIM58","ENSG00000162722.8","chr1",248020501,248041507
"RLIMP2","ENSG00000237278.2","chr1",113667943,113669505
"LPGAT1","ENSG00000123684.8","chr1",211916799,212004114
"LCE2B","ENSG00000159455.7","chr1",152647771,152659877
"RP11-286M16.1","ENSG00000227043.1","chr1",230011297,230021499
"RP11-96K19.4","ENSG00000261654.1","chr1",111478991,111484975
"TMEM234","ENSG00000160055.15","chr1",32680073,32687972
